"student";"snapshot";"datetime"
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T07:46:21.878Z";2020-11-24 07:46:21
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T08:11:16.009Z";2020-11-24 08:11:16
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T08:11:36.969Z";2020-11-24 08:11:36
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T09:02:12.754Z";2020-11-24 09:02:12
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T10:15:07.069Z";2020-11-24 10:15:07
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T10:58:10.352Z";2020-11-24 10:58:10
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T17:29:43.420Z";2020-11-24 17:29:43
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T17:52:22.184Z";2020-11-24 17:52:22
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-24T19:05:22.225Z";2020-11-24 19:05:22
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T00:48:00.283Z";2020-11-25 00:48:00
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T18:47:28.448Z";2020-11-25 18:47:28
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T19:07:51.983Z";2020-11-25 19:07:51
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T19:38:03.638Z";2020-11-25 19:38:03
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T21:38:43.746Z";2020-11-25 21:38:43
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T22:39:24.265Z";2020-11-25 22:39:24
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T22:39:56.258Z";2020-11-25 22:39:56
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T22:40:15.551Z";2020-11-25 22:40:15
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T23:20:37.548Z";2020-11-25 23:20:37
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-25T23:32:53.369Z";2020-11-25 23:32:53
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T00:18:26.021Z";2020-11-26 00:18:26
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T00:31:15.546Z";2020-11-26 00:31:15
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T00:51:20.767Z";2020-11-26 00:51:20
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T00:59:07.804Z";2020-11-26 00:59:07
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T01:27:42.191Z";2020-11-26 01:27:42
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T02:17:48.047Z";2020-11-26 02:17:48
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T02:46:31.920Z";2020-11-26 02:46:31
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T03:13:08.829Z";2020-11-26 03:13:08
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T03:54:11.439Z";2020-11-26 03:54:11
"93e7a80b207ccc4059daf3a1abba11dfa8c6c23c";"2020-11-26T04:48:17.968Z";2020-11-26 04:48:17
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T03:36:15.360Z";2020-11-17 03:36:15
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T04:38:18.293Z";2020-11-17 04:38:18
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T16:01:52.458Z";2020-11-17 16:01:52
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T16:04:51.902Z";2020-11-17 16:04:51
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T16:07:36.060Z";2020-11-17 16:07:36
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T16:12:42.391Z";2020-11-17 16:12:42
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T16:24:18.762Z";2020-11-17 16:24:18
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T16:42:29.779Z";2020-11-17 16:42:29
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T17:35:40.523Z";2020-11-17 17:35:40
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T18:46:09.985Z";2020-11-17 18:46:09
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T19:17:09.883Z";2020-11-17 19:17:09
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T20:46:44.261Z";2020-11-17 20:46:44
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T21:00:20.165Z";2020-11-17 21:00:20
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T21:02:45.090Z";2020-11-17 21:02:45
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T21:22:24.221Z";2020-11-17 21:22:24
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T21:56:52.086Z";2020-11-17 21:56:52
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T22:46:47.177Z";2020-11-17 22:46:47
