student;snapshot;c_error;r_error;t_failed;t_success
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-22T18_06_33.197Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-22T18_09_11.470Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-23T00_52_06.104Z;0;0;1;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-09-23T01_01_53.437Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-04T17_06_27.629Z;1;0;0;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-06T16_31_08.069Z;1;0;0;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-09T05_44_00.206Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-09T05_53_00.884Z;0;0;0;1
084446117d0ab708d724abbe76e58340d13dc899;2020-09-09T06_18_38.103Z;1;0;0;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-09T06_29_19.530Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-09T06_56_19.796Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-10T04_47_30.161Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-12T18_15_50.154Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-12T19_33_16.567Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-12T20_10_50.605Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-12T20_40_22.960Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-12T20_54_47.308Z;0;0;1;0
084446117d0ab708d724abbe76e58340d13dc899;2020-09-12T20_57_17.062Z;0;0;0;1
084446117d0ab708d724abbe76e58340d13dc899;2020-09-12T21_01_09.938Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-08T03_50_44.843Z;1;0;0;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-08T03_54_45.008Z;0;0;0;1
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-08T03_56_36.759Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-08T03_57_00.818Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-08T03_58_10.289Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-08T04_20_43.770Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-09T15_59_51.805Z;1;0;0;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-13T02_04_44.053Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-13T04_18_39.055Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-13T04_22_30.314Z;0;0;1;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-09-14T23_43_35.060Z;0;0;0;1
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-06T14_19_58.715Z;1;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-06T14_22_06.668Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-06T14_24_14.749Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-06T14_24_51.612Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-06T14_31_12.440Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-06T14_31_36.386Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-15T21_27_34.644Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-15T22_03_36.622Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-15T22_06_39.196Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-15T23_04_13.918Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-15T23_34_22.955Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-16T03_24_03.446Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-16T03_29_10.441Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-16T03_41_33.084Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-16T03_50_54.260Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-16T03_52_11.013Z;0;0;1;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-09-16T04_06_02.238Z;0;0;0;1
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-09-14T22_43_25.478Z;1;0;0;0
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-09-14T22_53_54.474Z;0;0;0;1
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-09-14T23_08_35.704Z;0;0;1;0
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-09-14T23_08_44.750Z;0;0;1;0
