HASH_ID,HW00 Grade,HW01 Grade,HW02 Grade,HW03 Grade,HW04 Grade,HW05 Grade,HW06 Grade,HW07 Grade,HW08 Grade,HW09 Grade,HW Avg,Extensions,HW00 Late Days,HW01 Late Days,HW02 Late Days,HW03 Late Days,HW04 Late Days,HW05 Late Days,HW06 Late Days,HW07 Late Days,HW08 Late Days
6144b2ccc7cad06963c6033a19657dd7e935b237,100,32,21,37,68.2,53,0,0,0,,34.57777778,1,0,0,2,2,0,0,0,0,0
6d5aaa9492af40790519b44d5062cc519c34f643,100,95,98,98,96,100,72,88,41.9562,,87.6618,0,0,0,0,1,0,2,2,0,0
1f6649cfa736c67eb2271da4a3afea2c55db34e6,100,9,44,19.5,0,0,0,0,0,,19.16666667,0,0,2,2,0,0,0,0,0,0
008a13042777e1aaca446a68fbc5b3877e6ed232,100,100,95,97.5,98,100,97,100,70,,95.27777778,0,0,0,0,0,0,0,0,0,0
b5e0812e60445d3fe7535f892e0b7735479b52fc,100,74,80,93,100,99,92,100,70,,89.77777778,0,0,0,0,0,0,0,0,2,0
6fc87d4f53fe81c4bd7a3d4b3c53ac521ba7c6d3,100,92,89,100,100,98,99,60,70,,89.77777778,0,0,0,0,1,0,0,1,1,1
d66d29ea031cc5b849475d74a16fba15e284c0b1,100,98,88,73.5,89.6,100,98,93,70,,90.01111111,0,0,0,0,1,0,0,0,0,0
2d7848bb411c2d1dfe75ddd2c095195b42110776,100,100,100,100,100,98,93,100,100,,99,0,0,0,0,0,0,0,0,0,0
67aaf2c30b90ae3ed9eb57c5c86d88bc439f0930,100,90,91,65,91,90,52,100,45.4344,,80.49271111,0,0,0,0,1,0,1,2,1,0
9626bfcdcbfdda64ce3a31191ceb88c9f8b52978,100,100,95.5,100,100,100,100,100,100,,99.5,0,0,0,0,0,0,0,0,0,0
752ac65f19eb98c6987504a1382f382be9b25d76,100,92,84,99.5,98,100,97,94,70,,92.72222222,0,0,0,0,0,0,0,2,0,0
34be5a53134a4e68dae61bf2fac1ba4c91030569,100,89,100,90,80,96,58,96,62.6718,,85.74131111,0,0,0,0,0,0,0,2,0,2
3e11348b68914f93fc74cde47fbcf05cc4b2867d,100,96,98,100,98,100,78,42,70,,86.88888889,0,0,1,1,1,0,1,1,0,0
e3f6726c87109c172bf57544bda8ab40e32822be,82,78,100,88,98,88,57,97,88.2906,,86.25451111,0,0,0,0,0,0,0,1,0,0
a8b23ae46c5e1054e878c347171f4a0beae41780,100,0,0,0,0,0,0,0,0,,11.11111111,0,0,0,0,0,0,0,0,0,0
69b307789e8a056939d00817344cff7b2c6a801f,100,87,85,90,85.2,96,95,93,70,,89.02222222,0,0,0,0,0,0,0,1,0,0
3d5924dc0067c7236dc1c9317ce16d9c52cd3c14,100,96,89,86,100,98,86,98,100,,94.77777778,0,0,0,0,1,0,0,2,0,0
6e4e0168083716fe8b485ddb5ddc86d02ebaae6f,100,94,97,73,100,98,98,104,66.15,,92.23888889,0,0,0,0,0,0,0,2,0,0
ea75f49943d3ecd813163f096f0f21ccbd4ef8c9,98,95,90.5,98,100,100,84,100,70,,92.83333333,0,0,1,0,1,0,0,2,1,1
ec1f4b6abfb302c4fb6d6d8e0d98134f7da23aa9,96,50,98,10,59.4,96,33,81,51.4938,,63.87708889,0,0,0,0,0,0,0,2,2,0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795,100,96,100,100,98,100,96.5,100,100,,98.94444444,0,0,0,0,1,0,0,2,0,0
